Market	Channel	Region	Category	SubCategory	Brand	Price_variable2	MCV.MS_Prvarsig_AIC	lastyr_avgprice	PriceElas.MS_Prvarsig_AIC	CSF	dukes.aioli	dukes.mayo	hellmanns.best.foods.aioli	hellmanns.best.foods.mayo	kraft.aioli	kraft.mayo	mccormick.aioli.aioli	miracle.whip.whipped.dressing	private.label.aioli	private.label.mayo	restofcategory	Revenue	Volume	MS_val
usa	food	all	spoonable	all	dukes aioli	Competition	7.94237579667138	3.24843676892512	-4.95592243204202	2.44498396048492	0	0.517263580866958	3.06831029423087	4.41195324115871	0	0.0377215867896037	0	0	0.0965143336205214	0	0.424819007055243	1204355.1221	383615.0863	0.0682507777109202
usa	food	all	spoonable	all	dukes aioli	OwnPrice	13.6408870213467	3.24843676892512	-1.70869487547396	4.19921580491787	0	6.14789450489702e-13	2.32374726761077	0.000421934721057828	0	0	0	0	5.71674209650721e-28	0	0.000196202994113517	1204355.1221	383615.0863	0.0682507777109202
usa	food	all	spoonable	all	dukes aioli	Segment	10.9222079221367	3.24843676892512	-2.82433920581054	3.36229660574577	0	0	2.61413333383566	0	0	0	4.43704680781627e-17	0	0	3.49801291847319e-17	0	1204355.1221	383615.0863	0.0682507777109202
usa	food	all	spoonable	all	dukes mayo	Competition	6.44943811240968	3.02658220086729	-4.90410268167344	2.13093109136819	0	0	1.99916581667968e-22	0.0402493155694759	1.26941320357245	0.00650462643653131	0	3.15355158255951e-07	0	0	0	173887994.6003	58397729.7313	9.85422874722274
usa	food	all	spoonable	all	dukes mayo	OwnPrice	11.6787037074538	3.02658220086729	-1.58692694560081	3.85871023232317	0	0	0	1.91853455003906	0	0.162748054516277	0	0	0	0	0	173887994.6003	58397729.7313	9.85422874722274
usa	food	all	spoonable	all	dukes mayo	Segment	5.77120908700139	3.02658220086729	-6.06731394190068	1.90684035786228	0	0	0	2.61023512863983	1.02475310889109	0	0	0.13806178488023	0	0	1.38584452507676e-08	173887994.6003	58397729.7313	9.85422874722274
usa	food	all	spoonable	all	hellmanns best foods aioli	Competition	16.5235572726372	6.78338659051838	-3.46260987183317	2.43588612445196	0	0	0	5.51191036846595	0	0	0	0	0	4.0618671129417	0.0508347646303833	10697243.3128	1653912.8091	0.606212538199276
usa	food	all	spoonable	all	hellmanns best foods aioli	Segment	11.4040124843441	6.78338659051838	-7.08863947198966	1.68116800246713	0	0	0	0	0	0	0	0	0	3.91961821125887	0	10697243.3128	1653912.8091	0.606212538199276
usa	food	all	spoonable	all	hellmanns best foods mayo	Competition	11.1415574878206	3.71718027484765	-2.5815696280083	2.99731427157572	0	0.24598190234043	1.09451266866235	0	0	1.03334483493403	0.945509989199243	0	0	0	0.274538388714424	804511041.9968	218513224.4986	45.5916226748486
usa	food	all	spoonable	all	hellmanns best foods mayo	OwnPrice	11.9249704345124	3.71718027484765	-1.92020936669745	3.20806889975255	0	1.06867636652264	1.24898812848327	0	0	1.17383218962223	0.924266280099117	0	0	0	1.42228057503646	804511041.9968	218513224.4986	45.5916226748486
usa	food	all	spoonable	all	hellmanns best foods mayo	Segment	11.0670380473664	3.71718027484765	-2.59066094765518	2.97726696825862	0	1.05688924257067	1.26055099948223	0	0	1.67556514552838	1.13050941059058	0	0	0	1.69247353926009	804511041.9968	218513224.4986	45.5916226748486
usa	food	all	spoonable	all	kraft aioli	Competition	18.9509568199888	6.06474060084537	-2.31112405361546	3.12477615569365	0.347853404898938	1.86043408378287e-05	0	0	0	2.34290963241454	0	2.69566256439692	1.42669496170557	0	2.36632909530408	12157634.6832	2013480.8873	0.68897288434894
usa	food	all	spoonable	all	kraft aioli	Segment	13.9036317677198	6.06474060084537	-3.60883595720373	2.29253527608118	0	0	0	0	0	0	0	0	0.926007956763258	0	2.53026203472295	12157634.6832	2013480.8873	0.68897288434894
usa	food	all	spoonable	all	kraft mayo	Competition	5.29613637945747	3.30484876867039	-7.69954146534486	1.60253516882959	0.127739157950452	0.0185588256921421	0	1.56476350644863	0	0	0.0185727196621927	0.0787538336678422	0	0	0.0844205284295967	157559226.7664	48050296.742	8.92887784093731
usa	food	all	spoonable	all	kraft mayo	OwnPrice	5.55227121787848	3.30484876867039	-5.33090549454292	1.68003790990783	0.202643440036399	0.347751984123296	0	2.46261851836433	0	0	0.0797114292024762	1.34100711113488	1.45451161053232e-07	0	0.958340214866241	157559226.7664	48050296.742	8.92887784093731
usa	food	all	spoonable	all	kraft mayo	Segment	5.13273310327638	3.30484876867039	-8.45339627842101	1.55309167303936	0.179816493314416	0.407590970398052	0	2.6560776224689	0	0	1.39439400903591	1.69571410285619	0	0	1.15622318750992	157559226.7664	48050296.742	8.92887784093731
usa	food	all	spoonable	all	mccormick aioli aioli	Competition	21.1837657183129	4.63839443863752	-1.27003376818046	4.56704706737606	2.18550758688741e-14	0	0	0	0	0	0	0	0	0	0	35614820.525	7751208.6318	2.01829107898647
usa	food	all	spoonable	all	miracle whip whipped dressing	Competition	7.97222491606753	3.66367526643268	-4.3860899187977	2.1760184340328	0.307647751143841	1.71092433696341e-12	0	1.4143087137216	0	1.52169272943935	1.13600104679167	0	0	0	0	204951437.91	56269563.5246	11.6145933816749
usa	food	all	spoonable	all	miracle whip whipped dressing	OwnPrice	7.85575172005946	3.66367526643268	-3.65117290997723	2.14422708039531	0.272369065341746	0	0	1.65276022633069	0	1.72160496665866	1.39556980344646	0	0	0	0	204951437.91	56269563.5246	11.6145933816749
usa	food	all	spoonable	all	private label aioli	Competition	8.62647428723982	4.97449504349095	-6.4697392135103	1.7341406940444	0	0.333262637442744	3.59457165465058	5.8161033142461	0	4.80746208783783	2.08631718197439e-18	1.38014910068998e-25	0	0.697121883913881	2.92039333849489e-18	1515089.4186	312648.4359	0.0858600833122458
usa	food	all	spoonable	all	private label aioli	OwnPrice	11.5919607908622	4.97449504349095	-2.95491881754107	2.33027889052379	0	2.36560394453388	0.000334325043152936	8.91162001035528	0	4.70374654544142	0	0	0	4.43018610334418	0	1515089.4186	312648.4359	0.0858600833122458
usa	food	all	spoonable	all	private label aioli	Segment	8.4981409387832	4.97449504349095	-6.61984848487585	1.70834242762045	0	1.83971202437545	7.01458051364486	0	0	3.99611547043088	2.59958348070842e-68	0	0	3.38016882689268e-06	0	1515089.4186	312648.4359	0.0858600833122458
usa	food	all	spoonable	all	private label mayo	Competition	6.92681943405769	2.31382459770311	-2.43746770263179	2.99366660763042	0.108653277721318	0.478586763667173	0	1.11982070517593	0.61350072182095	1.45179912078845	0	0.00115501593932986	0.268775032375546	0	0.984717606967945	177700759.4185	76805724.6025	10.070298043808
usa	food	all	spoonable	all	private label mayo	Segment	7.15403669352595	2.31382459770311	-2.31697310445538	3.09186647104868	0	0	0	0	0	0	0	0	0	0	0	177700759.4185	76805724.6025	10.070298043808
usa	food	all	spoonable	all	restofcategory	Competition	18.8536676315485	4.35164406000309	-1.55072257051021	4.33253900631182	0	0.00606566998245895	0	0.80272386198433	0.622226962271663	0.582200906795668	0	0	0	0	0	184803178.0653	41299592.2153	10.4727919489507
usa	food	all	spoonable	all	restofcategory	OwnPrice	12.234061956667	4.35164406000309	-2.4111381687189	2.81136549496613	0	0.015306129395312	0	0.806150728480002	0.663014177772292	0.902814840912963	0.726828893493717	0	0	0	0	184803178.0653	41299592.2153	10.4727919489507
usa	food	all	spoonable	all	restofcategory	Segment	11.6989259401225	4.35164406000309	-3.11529403418747	2.6883921981694	0	0	0	2.25619289391014e-07	1.02090021144236	0	0	0	0.263509442193742	0	0	184803178.0653	41299592.2153	10.4727919489507
usa	target	all	spoonable	all	dukes mayo	Competition	9.61540877995549	3.1864979152892	-2.52649512494993	3.01754748804937	0	0	0.187288501417087	0.469354346182442	1.03739274007402	0	0	0.86251908595985	0	1.18663989244935	0	1584198.771429	494278.6393283	2.79692813941229
usa	target	all	spoonable	all	dukes mayo	OwnPrice	13.3401124652876	3.1864979152892	-1.33010313939816	4.18644945640169	0	0	0.186733153569149	1.0310718860039	0	0	0	1.20032089217614	0	1.37244026658488	0	1584198.771429	494278.6393283	2.79692813941229
usa	target	all	spoonable	all	dukes mayo	Segment	9.83851753386358	3.1864979152892	-2.48666370564153	3.08756440312017	0	0	0.125350592687656	1.3755030032594	0.894713528441475	0	0	1.44046746075334	0	1.7368626866728	1.58592389285671	1584198.771429	494278.6393283	2.79692813941229
usa	target	all	spoonable	all	hellmanns best foods aioli	Competition	11.2034520298681	6.32417105849538	-6.67376343769373	1.77152893655814	0	10.625553999879	0	0	0	6.9052938641311	0	0	0.313370607429942	1.44053294268322e-12	0	996229.747204	156661.174597	1.75885947112624
usa	target	all	spoonable	all	hellmanns best foods aioli	Segment	25.271945102	6.32417105849538	-1.6422784314654	3.99608816210809	0	0	0	0	0	0	0	0	0	0	0	996229.747204	156661.174597	1.75885947112624
usa	target	all	spoonable	all	hellmanns best foods mayo	Competition	11.3376035295684	4.03945751959079	-2.74470696474449	2.80671438542988	0	0.0949165111371781	0.355163359014625	0	0.730270236541673	0.116468814347605	0.0188729277177644	0	2.7877980847213e-06	0.905170818569912	0.234794881257959	29811952.826002	7248887.3121528	52.6334770949629
usa	target	all	spoonable	all	hellmanns best foods mayo	OwnPrice	14.3473987207676	4.03945751959079	-1.62013796068065	3.55181324501738	0	0.843250778930476	0.429658913514441	0	0.657755408231242	0.81528660753763	0.0181698529372272	0	1.15895318500916e-11	1.50243449884064	1.28613166963959	29811952.826002	7248887.3121528	52.6334770949629
