,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Time,Sector,Sub Sector,Size Group,MAJOR BRAND_Sauces2 [ MAJOR BRAND_Sauces2 ],Product,Geography,Value Sales,Unit Sales,Volume Sales,Average Weekly ACV Distribution
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,0 - 350 GR,STOKES,STOKES STANDARD BROWN SAUCE REGULAR 1 CT 320 GR 5060092691628,Waitrose GB,1683.65,561,179.5199999999999,70.79805917697205
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,0 - 350 GR,CHEF,CHEF STANDARD BROWN SAUCE REGULAR 1 CT 330 GR 5011005056492,Morrisons GB,754.6,602,198.66,18.856866238757423
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,0 - 350 GR,TIPTREE,TIPTREE STANDARD BROWN SAUCE REGULAR 1 CT 310 GR 0043647861030,Tesco GB,2.4,1,0.31,0.15757152989201578
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,0 - 350 GR,TIPTREE,TIPTREE STANDARD BROWN SAUCE REGULAR 1 CT 310 GR 0043647861030,The Cooperative Group GB,66.7,29,8.989999999999998,0.6120064387326265
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,0 - 350 GR,TIPTREE,TIPTREE STANDARD BROWN SAUCE REGULAR 1 CT 310 GR 0043647861030,Waitrose GB,44.1,18,5.58,0.548720507812901
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL STANDARD STANDARD BROWN SAUCE BROWN 1 CT 450 GR 5010525125695,Morrisons GB,3095.28,3642,1638.9,59.022992198689394
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL STANDARD STANDARD BROWN SAUCE REGULAR REDUCED SALT REDUCED SUGR 1 CT 425 GR 5057753901226,Tesco GB,1727.24,1930,820.2499999999999,45.735009398542076
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL STANDARD STANDARD BROWN SAUCE REGULAR 1 CT 435 GR 5057753940072,Tesco GB,10505.07,11678,5079.929999999999,81.25240790975003
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL STANDARD STANDARD BROWN SAUCE REGULAR 1 CT 450 GR 01774436,Sainsburys GB,4749.67,4477,2014.6499999999996,86.40758437282993
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL STANDARD STANDARD BROWN SAUCE REGULAR 1 CT 460 GR 5057172338085,Asda GB,14396.42,15983,7352.1799999999985,99.53402759932854
