,Brand-Pack Level,,,,,,,,,,,,,Brand Level,,,,,,,,,,,
,Key,Channel,Brand,PPG,RSV,Vol,CSF,MCV,RSV_Total,Volume_Total,,Category MCV,,Key,Channel,Brand,RSV,Vol,CSF,MCV,RSV_Total,Volume_Total,,Unique Brands,Fill Sorting Order
,=C57&D57&E57,,,,,,,,,,,,,=P57&Q57,Convenience,,,,,,,,,,
,=C58&D58&E58,,,,,,,,,,,,,=P58&Q58,Convenience,,,,,,,,,,
,=C59&D59&E59,,,,,,,,,,,,,=P59&Q59,Convenience,,,,,,,,,,
,=C60&D60&E60,,,,,,,,,,,,,=P60&Q60,Convenience,,,,,,,,,,
,=C61&D61&E61,,,,,,,,,,,,,=P61&Q61,Convenience,,,,,,,,,,
,=C62&D62&E62,,,,,,,,,,,,,=P62&Q62,Convenience,,,,,,,,,,
,=C63&D63&E63,,,,,,,,,,,,,=P63&Q63,Convenience,,,,,,,,,,
,=C64&D64&E64,,,,,,,,,,,,,=P64&Q64,Convenience,,,,,,,,,,
,=C65&D65&E65,,,,,,,,,,,,,=P65&Q65,Convenience,,,,,,,,,,
,=C66&D66&E66,,,,,,,,,,,,,=P66&Q66,Convenience,,,,,,,,,,
,=C67&D67&E67,,,,,,,,,,,,,=P67&Q67,Convenience,,,,,,,,,,
,=C68&D68&E68,,,,,,,,,,,,,=P68&Q68,Convenience,,,,,,,,,,
,=C69&D69&E69,,,,,,,,,,,,,=P69&Q69,Convenience,,,,,,,,,,
,=C70&D70&E70,,,,,,,,,,,,,=P70&Q70,Convenience,,,,,,,,,,
,=C71&D71&E71,,,,,,,,,,,,,=P71&Q71,Convenience,,,,,,,,,,
,=C72&D72&E72,,,,,,,,,,,,,=P72&Q72,Convenience,,,,,,,,,,
,=C73&D73&E73,,,,,,,,,,,,,=P73&Q73,Convenience,,,,,,,,,,
,=C74&D74&E74,,,,,,,,,,,,,=P74&Q74,Convenience,,,,,,,,,,
,=C75&D75&E75,,,,,,,,,,,,,=P75&Q75,Convenience,,,,,,,,,,
,=C76&D76&E76,,,,,,,,,,,,,=P76&Q76,Convenience,,,,,,,,,,
,=C77&D77&E77,,,,,,,,,,,,,=P77&Q77,Convenience,,,,,,,,,,
,=C78&D78&E78,,,,,,,,,,,,,=P78&Q78,Convenience,,,,,,,,,,
,=C79&D79&E79,,,,,,,,,,,,,=P79&Q79,Convenience,,,,,,,,,,
,=C80&D80&E80,,,,,,,,,,,,,=P80&Q80,Convenience,,,,,,,,,,
,=C81&D81&E81,,,,,,,,,,,,,=P81&Q81,Convenience,,,,,,,,,,
,=C82&D82&E82,,,,,,,,,,,,,=P82&Q82,Convenience,,,,,,,,,,
,=C83&D83&E83,,,,,,,,,,,,,=P83&Q83,Convenience,,,,,,,,,,
,=C84&D84&E84,,,,,,,,,,,,,=P84&Q84,Convenience,,,,,,,,,,
,=C85&D85&E85,,,,,,,,,,,,,=P85&Q85,Convenience,,,,,,,,,,
,=C86&D86&E86,,,,,,,,,,,,,=P86&Q86,Convenience,,,,,,,,,,
,=C87&D87&E87,,,,,,,,,,,,,=P87&Q87,Convenience,,,,,,,,,,
,=C88&D88&E88,,,,,,,,,,,,,=P88&Q88,Convenience,,,,,,,,,,
,=C89&D89&E89,,,,,,,,,,,,,=P89&Q89,Convenience,,,,,,,,,,
,=C90&D90&E90,,,,,,,,,,,,,=P90&Q90,Convenience,,,,,,,,,,
,=C91&D91&E91,,,,,,,,,,,,,=P91&Q91,Convenience,,,,,,,,,,
,=C92&D92&E92,,,,,,,,,,,,,=P92&Q92,Convenience,,,,,,,,,,
,=C93&D93&E93,,,,,,,,,,,,,=P93&Q93,Convenience,,,,,,,,,,
,=C94&D94&E94,,,,,,,,,,,,,=P94&Q94,Convenience,,,,,,,,,,
,=C95&D95&E95,,,,,,,,,,,,,=P95&Q95,Convenience,,,,,,,,,,
,=C96&D96&E96,,,,,,,,,,,,,=P96&Q96,Convenience,,,,,,,,,,
,=C97&D97&E97,,,,,,,,,,,,,=P97&Q97,Convenience,,,,,,,,,,
,=C98&D98&E98,,,,,,,,,,,,,=P98&Q98,Convenience,,,,,,,,,,
,=C99&D99&E99,,,,,,,,,,,,,=P99&Q99,Convenience,,,,,,,,,,
,=C100&D100&E100,,,,,,,,,,,,,=P100&Q100,Convenience,,,,,,,,,,
,=C101&D101&E101,,,,,,,,,,,,,=P101&Q101,Convenience,,,,,,,,,,
,=C102&D102&E102,,,,,,,,,,,,,=P102&Q102,Convenience,,,,,,,,,,
,=C103&D103&E103,,,,,,,,,,,,,=P103&Q103,Convenience,,,,,,,,,,
,=C104&D104&E104,,,,,,,,,,,,,=P104&Q104,Convenience,,,,,,,,,,
,=C105&D105&E105,,,,,,,,,,,,,=P105&Q105,Convenience,,,,,,,,,,
,=C106&D106&E106,,,,,,,,,,,,,=P106&Q106,Convenience,,,,,,,,,,
,=C107&D107&E107,,,,,,,,,,,,,=P107&Q107,Convenience,,,,,,,,,,
,=C108&D108&E108,,,,,,,,,,,,,=P108&Q108,Convenience,,,,,,,,,,
,=C109&D109&E109,,,,,,,,,,,,,=P109&Q109,Convenience,,,,,,,,,,
,=C110&D110&E110,,,,,,,,,,,,,=P110&Q110,Convenience,,,,,,,,,,
,=C111&D111&E111,,,,,,,,,,,,,=P111&Q111,Convenience,,,,,,,,,,
,=C112&D112&E112,,,,,,,,,,,,,=P112&Q112,Convenience,,,,,,,,,,
,=C113&D113&E113,,,,,,,,,,,,,=P113&Q113,Convenience,,,,,,,,,,
,=C114&D114&E114,,,,,,,,,,,,,=P114&Q114,Convenience,,,,,,,,,,
,=C115&D115&E115,,,,,,,,,,,,,=P115&Q115,Convenience,,,,,,,,,,
,=C116&D116&E116,,,,,,,,,,,,,=P116&Q116,Convenience,,,,,,,,,,
,=C117&D117&E117,,,,,,,,,,,,,=P117&Q117,Convenience,,,,,,,,,,
,=C118&D118&E118,,,,,,,,,,,,,=P118&Q118,Convenience,,,,,,,,,,
,=C119&D119&E119,,,,,,,,,,,,,=P119&Q119,Convenience,,,,,,,,,,
,=C120&D120&E120,,,,,,,,,,,,,=P120&Q120,Convenience,,,,,,,,,,
,=C121&D121&E121,,,,,,,,,,,,,=P121&Q121,Convenience,,,,,,,,,,
,=C122&D122&E122,,,,,,,,,,,,,=P122&Q122,Convenience,,,,,,,,,,
,=C123&D123&E123,,,,,,,,,,,,,=P123&Q123,Convenience,,,,,,,,,,
,=C124&D124&E124,,,,,,,,,,,,,=P124&Q124,Convenience,,,,,,,,,,
,=C125&D125&E125,,,,,,,,,,,,,=P125&Q125,Convenience,,,,,,,,,,
,=C126&D126&E126,,,,,,,,,,,,,=P126&Q126,Convenience,,,,,,,,,,
,=C127&D127&E127,,,,,,,,,,,,,=P127&Q127,Convenience,,,,,,,,,,
,=C128&D128&E128,,,,,,,,,,,,,=P128&Q128,Convenience,,,,,,,,,,
,=C129&D129&E129,,,,,,,,,,,,,=P129&Q129,Convenience,,,,,,,,,,
,=C130&D130&E130,,,,,,,,,,,,,=P130&Q130,Convenience,,,,,,,,,,
,=C131&D131&E131,,,,,,,,,,,,,=P131&Q131,Convenience,,,,,,,,,,
,=C132&D132&E132,,,,,,,,,,,,,=P132&Q132,Convenience,,,,,,,,,,
,=C133&D133&E133,,,,,,,,,,,,,=P133&Q133,Convenience,,,,,,,,,,
,=C134&D134&E134,,,,,,,,,,,,,=P134&Q134,Convenience,,,,,,,,,,
,=C135&D135&E135,,,,,,,,,,,,,=P135&Q135,Convenience,,,,,,,,,,
,=C136&D136&E136,,,,,,,,,,,,,=P136&Q136,Convenience,,,,,,,,,,
,=C137&D137&E137,,,,,,,,,,,,,=P137&Q137,Convenience,,,,,,,,,,
,=C138&D138&E138,,,,,,,,,,,,,=P138&Q138,Convenience,,,,,,,,,,
,=C139&D139&E139,,,,,,,,,,,,,=P139&Q139,Convenience,,,,,,,,,,
,=C140&D140&E140,,,,,,,,,,,,,=P140&Q140,Convenience,,,,,,,,,,
,=C141&D141&E141,,,,,,,,,,,,,=P141&Q141,Convenience,,,,,,,,,,
,=C142&D142&E142,,,,,,,,,,,,,=P142&Q142,Convenience,,,,,,,,,,
,=C143&D143&E143,,,,,,,,,,,,,=P143&Q143,Convenience,,,,,,,,,,
,=C144&D144&E144,,,,,,,,,,,,,=P144&Q144,Convenience,,,,,,,,,,
,=C145&D145&E145,,,,,,,,,,,,,=P145&Q145,Convenience,,,,,,,,,,
,=C146&D146&E146,,,,,,,,,,,,,=P146&Q146,Convenience,,,,,,,,,,
,=C147&D147&E147,,,,,,,,,,,,,=P147&Q147,Convenience,,,,,,,,,,
,=C148&D148&E148,,,,,,,,,,,,,=P148&Q148,Convenience,,,,,,,,,,
,=C149&D149&E149,,,,,,,,,,,,,=P149&Q149,Convenience,,,,,,,,,,
,=C150&D150&E150,,,,,,,,,,,,,=P150&Q150,Convenience,,,,,,,,,,
,=C151&D151&E151,,,,,,,,,,,,,=P151&Q151,Convenience,,,,,,,,,,
,=C152&D152&E152,,,,,,,,,,,,,=P152&Q152,Convenience,,,,,,,,,,
,=C153&D153&E153,,,,,,,,,,,,,=P153&Q153,Convenience,,,,,,,,,,
,=C154&D154&E154,,,,,,,,,,,,,=P154&Q154,Convenience,,,,,,,,,,
,=C155&D155&E155,,,,,,,,,,,,,=P155&Q155,Convenience,,,,,,,,,,
,=C156&D156&E156,,,,,,,,,,,,,=P156&Q156,Convenience,,,,,,,,,,
,=C157&D157&E157,,,,,,,,,,,,,=P157&Q157,Convenience,,,,,,,,,,
,=C158&D158&E158,,,,,,,,,,,,,=P158&Q158,Convenience,,,,,,,,,,
,=C159&D159&E159,,,,,,,,,,,,,=P159&Q159,Convenience,,,,,,,,,,
,=C160&D160&E160,,,,,,,,,,,,,=P160&Q160,Convenience,,,,,,,,,,
,=C161&D161&E161,,,,,,,,,,,,,=P161&Q161,Convenience,,,,,,,,,,
,=C162&D162&E162,,,,,,,,,,,,,=P162&Q162,Convenience,,,,,,,,,,
