Market,Channel,Region,Category,SubCategory,Brand,Variant,PackType,PPG,PackSize,Year,Month,Week,Date,BrCatId,SalesValue,Volume,VolumeUnits,D1,D2,D3,D4,D5,D6,AV1,AV2,AV3,AV4,AV5,AV6,EV1,EV2,EV3,EV4,EV5,EV6,PrepDate,ProjCode
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,December,52,2024-12-28 00:00:00,Brand,1.65,0.4,1,0.07947425403816856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,February,5,2024-02-03 00:00:00,Brand,2677.86,648.7999999999997,1622,33.72061822636117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,February,6,2024-02-10 00:00:00,Brand,3370.84,818.4000000000001,2046,35.84766672195166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,February,7,2024-02-17 00:00:00,Brand,3567.45,866.0000000000002,2165,35.92745364165073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,February,8,2024-02-24 00:00:00,Brand,3790,918.3999999999999,2296,36.76179673912886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,January,1,2024-01-06 00:00:00,Brand,3557.62,874,2185,35.53782595472079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,January,2,2024-01-13 00:00:00,Brand,3513.39,854,2135,35.63817014542682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,January,3,2024-01-20 00:00:00,Brand,3156.04,764.8,1912,34.62377703811917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,January,4,2024-01-27 00:00:00,Brand,2720.28,659.2000000000002,1648,33.30806151786302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,July,27,2024-07-06 00:00:00,Brand,11.55,2.8,7,0.1327264247005658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,July,28,2024-07-13 00:00:00,Brand,20.4,5.200000000000001,13,0.3276900515121399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,July,29,2024-07-20 00:00:00,Brand,3.3,0.8,2,0.06950685630556944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,July,30,2024-07-27 00:00:00,Brand,3.3,0.8,2,0.05346001170520955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,June,22,2024-06-01 00:00:00,Brand,56.1,14,35,0.7744620347204481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,June,23,2024-06-08 00:00:00,Brand,24.73,6.800000000000002,17,0.59101802167538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,June,24,2024-06-15 00:00:00,Brand,29.41,7.600000000000003,19,0.4851640476439686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,June,25,2024-06-22 00:00:00,Brand,29.35,7.600000000000001,19,0.5087839558869173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,June,26,2024-06-29 00:00:00,Brand,15.1,4,10,0.2127334338516876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,March,9,2024-03-02 00:00:00,Brand,3294.51,799.5999999999998,1999,35.51919741017712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,March,10,2024-03-09 00:00:00,Brand,2926.45,709.1999999999999,1773,34.36933926167021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,March,11,2024-03-16 00:00:00,Brand,2781.17,674,1685,34.19252869318601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,March,12,2024-03-23 00:00:00,Brand,3485.4,844.8000000000001,2112,36.11259532215139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,March,13,2024-03-30 00:00:00,Brand,3751.97,909.2000000000003,2273,36.46069768768188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,May,18,2024-05-04 00:00:00,Brand,359.86,87.20000000000003,218,5.617321332463513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,May,19,2024-05-11 00:00:00,Brand,214.66,52,130,3.253838456524952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,May,20,2024-05-18 00:00:00,Brand,140.86,34.4,86,2.076073762329459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
