Market,Channel,Region,Category,SubCategory,Brand,Variant,PackType,PPG,MCV,Price_elas,Revenue,Volume,Price,CSF,others.cplus,sunlight.cplus,wings.ekonomi.cplus,mama.core,mama.cplus,sunlight.core,Revenue_Total,Volume_Total,Price_ModelPeriod,CS,MShare,NewMShare,MSP,Compname
lmtgt,liquid,all,all,all,others cplus,all,all,all,23.0609283,-11.64478153,98045194374,5960894068,16.44806857,1.402044757,NA,0.285716057,1.834196908,5.622954324,NA,4.702250133,6.31339E+11,40993242553,15.40106135,1.17754E+11,0.052258399,0.051664859,-0.000593541,others cplus
lmtgt,liquid,all,all,all,sunlight cplus,all,all,all,32.78816189,-11.0517309,10800215929,494673780.7,21.83300662,1.501770345,0.432405542,NA,4.781300346,29.56711202,7.96514932,NA,92655845650,3826431908,24.21468561,13509829966,0.005756549,0.005927448,0.000170898,sunlight cplus
lmtgt,liquid,all,all,all,wings ekonomi cplus,all,all,all,21.36284605,-10.20675413,1.27214E+11,8969029251,14.1837052,1.506154122,1.639284419,0.424254309,NA,2.454779777,10.95325032,3.362143628,6.45247E+11,44028725408,14.6551451,1.59409E+11,0.067805501,0.069940825,0.002135324,wings ekonomi cplus
lmtgt,liquid,all,all,all,mama core,all,all,all,25.27714096,-10.87419573,5.39399E+11,31436291399,17.15848054,1.473157305,2.09569466,0.974275419,NA,NA,2.516730862,1.237354356,2.68467E+12,1.52047E+11,17.65678049,6.67009E+11,0.287501374,0.292650798,0.005149424,mama core
lmtgt,liquid,all,all,all,mama cplus,all,all,all,25.02785253,-10.1563653,1.64551E+11,10013637509,16.43269948,1.523051801,1.329010081,1.965450761,0.108928225,9.383313165,NA,7.352307855,1.0091E+12,57798139212,17.45910285,2.07585E+11,0.087706256,0.091078273,0.003372017,mama cplus
lmtgt,liquid,all,all,all,sunlight core,all,all,all,31.455322,-13.17898808,9.36152E+11,41064882420,22.79689664,1.379807195,1.44831512,0.200731062,0.476414232,7.310741252,4.855603731,NA,6.81864E+12,2.98777E+11,22.82185694,1.11393E+12,0.49897192,0.488737797,-0.010234123,sunlight core
